ds,yhat,yhat_lower,yhat_upper
1909-07-01,-0.24961152528197034,-0.42804459188742333,-0.04966591885357834
1909-08-01,-0.24864499227997275,-0.438055945211783,-0.07207380253397103
1909-09-01,-0.23896734463281497,-0.4255252117101232,-0.04270118056561408
1909-10-01,-0.23684501760396579,-0.42649286169799094,-0.051107030391330965
1909-11-01,-0.24600433228358018,-0.43632609687880386,-0.06581960774924135
1909-12-01,-0.26120677437089457,-0.46098729074449635,-0.07868998273799305
1910-01-01,-0.26156008571872813,-0.4435981250378195,-0.07819562771233887
1910-02-01,-0.25467580025253717,-0.44105098066456294,-0.08309388417723516
1910-03-01,-0.24125813925266465,-0.42147348210751256,-0.04134510930611621
1910-04-01,-0.25282725944765916,-0.43740607779245055,-0.05333019631721855
1910-05-01,-0.2589090139926207,-0.44714839172218424,-0.06377814259787107
1910-06-01,-0.26003205793097406,-0.44281765808844453,-0.0724192761913536
1910-07-01,-0.24755836727244027,-0.43292962782181765,-0.052244516827414024
1910-08-01,-0.24805160295360365,-0.4430475694925875,-0.06945130251747585
1910-09-01,-0.2414249192885614,-0.4162287110597138,-0.06013987328285128
1910-10-01,-0.235189214537882,-0.4177727765555099,-0.04641560124421198
1910-11-01,-0.2418202990359344,-0.4451067969602382,-0.055565418967006334
1910-12-01,-0.26827055168506675,-0.447107578985624,-0.08099018694587841
1911-01-01,-0.2539967194427308,-0.4450478701094203,-0.058680306086053305
1911-02-01,-0.2507405204154511,-0.4401242715043219,-0.06549339843536972
1911-03-01,-0.24168654931592265,-0.43017719546640704,-0.0657361858706483
1911-04-01,-0.25235168720709034,-0.44034423989404325,-0.0627777492116649
